Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-09-28,Picnic,1996,https://boxd.it/7qoBH5,4.5,,,2024-09-28
2024-10-10,Days of Being Wild,1990,https://boxd.it/7w6SPN,4,,,2024-10-10
2024-10-12,Kwaidan,1964,https://boxd.it/7wCiM3,4.5,,,2024-10-11
2024-10-13,Snatch,2000,https://boxd.it/7x5EP7,4,,,2024-10-12
2024-10-14,The Prestige,2006,https://boxd.it/7yevnZ,4.5,,,2024-10-14
2024-10-15,Vertigo,1958,https://boxd.it/7yJueJ,3,,,2024-10-15
2024-10-27,PLUTO,2023,https://boxd.it/7EgqDL,4.5,,,2024-10-26
2024-11-09,Rosemary's Baby,1968,https://boxd.it/7L0NKr,4,,,2024-11-08
2024-11-15,Pather Panchali,1955,https://boxd.it/7O5YID,5,,,2024-11-14
2024-11-15,Aparajito,1956,https://boxd.it/7OtiUP,5,,,2024-11-15
2024-11-17,Apur Sansar,1959,https://boxd.it/7P6WHT,5,,,2024-11-16
2024-11-23,The Big City,1963,https://boxd.it/7S57oL,4.5,,,2024-11-22
2024-11-27,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/7UCx7F,5,,,2024-11-27
2024-12-02,Ninja Scroll,1993,https://boxd.it/7WH6AX,4,,,2024-12-01
2024-12-04,Memories,1995,https://boxd.it/7XMuUB,5,,,2024-12-03
2024-12-05,Angel's Egg,1985,https://boxd.it/7YdX65,5,,,2024-12-04
2024-12-07,Mononoke,2007,https://boxd.it/7Z3DQL,4,,,2024-12-06
2024-12-24,Killers of the Flower Moon,2023,https://boxd.it/88oZOF,3.5,,,2024-12-23
2024-12-24,Persona,1966,https://boxd.it/8928dL,4.5,,,2024-12-24
2024-12-26,House,1977,https://boxd.it/89SEON,4.5,,,2024-12-25
2024-12-27,Mulholland Drive,2001,https://boxd.it/8aJ9bB,3.5,,,2024-12-26
2024-12-27,Memories of Murder,2003,https://boxd.it/8bz6Fn,5,Yes,,2024-12-27
2024-12-30,Tetsuo: The Iron Man,1989,https://boxd.it/8ejCa7,3.5,,,2024-12-30
2024-12-31,Raiders of the Lost Ark,1981,https://boxd.it/8ffWfd,4,,,2024-12-31
2025-01-01,Indiana Jones and the Temple of Doom,1984,https://boxd.it/8g2p6F,4,,,2025-01-01
2025-01-02,Indiana Jones and the Last Crusade,1989,https://boxd.it/8h9LY3,4,,,2025-01-02
2025-01-03,Rear Window,1954,https://boxd.it/8idOsV,5,,,2025-01-03
2025-01-05,Chinatown,1974,https://boxd.it/8jjo53,4.5,,,2025-01-04
2025-01-06,Manhunter,1986,https://boxd.it/8kAam3,3,,,2025-01-05
2025-01-06,True Romance,1993,https://boxd.it/8lqrwX,3,,,2025-01-06
2025-01-08,The Hateful Eight,2015,https://boxd.it/8mnTT9,4.5,,,2025-01-07
2025-01-08,A Fistful of Dollars,1964,https://boxd.it/8n8RLB,4,,,2025-01-08
2025-01-10,Nosferatu,2024,https://boxd.it/8pcRAp,3.5,,,2025-01-10
2025-01-12,For a Few Dollars More,1965,https://boxd.it/8qu0wf,4,,,2025-01-11
2025-01-23,Nobody,2021,https://boxd.it/8zzBZf,3,,,2025-01-14
2025-01-24,Charisma,1999,https://boxd.it/8AUk6j,3.5,,,2025-01-24
